date,"exp,s",local time,UT,JD,addition,phase,lambda_NaD1_A,lambda_NaD2_A,lambda_Ca
20120802,1800,3h53m,,2456141.49514000,4450.769,0.5456244988037824,5889.243,5895.222,4226.46
20121126,2700,20h06-20h53m,,2456258.17313641,6698.387,0.1070403905168877,-,-,-
20130202,2700,00h52-04h20m,,2456326.42334350,-5093.433,0.8550671815539488,5889.319,5895.27,4226.31
20130529,1200,22h27m-23h30m,,2456443.26992538,-6032.999,0.4143372847806423,5889.248,5895.218,4226.30
20131008,2700,00h42m-03h59m,,2456573.44660283,10471.263,0.9190653269519604,5889.318,5895.278,-
20131009,2700,00h56m-04h20m,,2456574.44663773,10469.643,0.9190653269519604,unanalised,unanalised,unanalised
20140417,2700,00h01m-04h47m,,2456764.44617807,-10221.369,0.2049986121020386,5889.2334,5895.224,-
20140811,2700 (4),01h21m,,2456880.56919991,5778.002,0.7687455734933750,5889.257,5895.233,4226.318?
